commodity_group,exporter,export_value,import_value
01,AGO,0.0,0.0
01,BDI,0.0,0.0
01,BEN,0.0,0.0
01,BFA,0.0,0.0
01,BWA,0.0,0.0
01,CAF,0.0,0.0
01,CIV,0.0,0.0
01,CMR,0.0,0.0
01,COD,6687.0,0.0
01,COG,0.0,0.0
01,COM,0.0,0.0
01,CPV,0.0,0.0
01,DJI,0.0,0.0
01,DZA,0.0,0.0
01,EGY,71.0,2220.0
01,ERI,0.0,0.0
01,ETH,0.0,654.0
01,GAB,0.0,0.0
01,GHA,14366.0,0.0
01,GIN,47715.0,0.0
01,GMB,0.0,195.0
01,GNB,0.0,0.0
01,GNQ,0.0,0.0
01,KEN,0.0,0.0
01,LBR,0.0,0.0
01,LBY,0.0,200.0
01,LSO,0.0,0.0
01,MAR,0.0,0.0
01,MDG,0.0,0.0
01,MLI,97308.0,0.0
01,MOZ,15196.0,0.0
01,MRT,0.0,0.0
01,MUS,85411.0,871.0
01,MWI,0.0,0.0
01,NAM,0.0,0.0
01,NER,0.0,0.0
01,NGA,0.0,0.0
01,RWA,0.0,0.0
01,SDN,198452.0,0.0
01,SEN,0.0,0.0
01,SLE,0.0,0.0
01,SOM,0.0,0.0
01,STP,0.0,0.0
01,SWZ,0.0,0.0
01,SYC,25398.0,0.0
01,TCD,0.0,0.0
01,TGO,0.0,0.0
01,TUN,0.0,0.0
01,TZA,774771.0,313.0
01,UGA,0.0,0.0
01,ZAF,1863969.0,78.0
01,ZMB,0.0,0.0
01,ZWE,0.0,0.0
02,AGO,0.0,1264642.0
02,BDI,0.0,3040546.0
02,BEN,0.0,119839.0
02,BFA,0.0,0.0
02,BWA,0.0,88.0
02,CAF,0.0,0.0
02,CIV,0.0,20287.0
02,CMR,0.0,3462.0
02,COD,0.0,13224922.0
02,COG,0.0,92395.0
02,COM,0.0,0.0
02,CPV,0.0,0.0
02,DJI,0.0,0.0
02,DZA,1482.0,0.0
02,EGY,19177.0,0.0
02,ERI,0.0,0.0
02,ETH,0.0,15070.0
02,GAB,0.0,0.0
02,GHA,0.0,0.0
02,GIN,0.0,0.0
02,GMB,0.0,0.0
02,GNB,0.0,0.0
02,GNQ,0.0,0.0
02,KEN,0.0,0.0
02,LBR,0.0,112626.0
02,LBY,0.0,0.0
02,LSO,0.0,0.0
02,MAR,0.0,0.0
02,MDG,0.0,0.0
02,MLI,0.0,0.0
02,MOZ,0.0,135.0
02,MRT,0.0,0.0
02,MUS,0.0,44.0
02,MWI,0.0,0.0
02,NAM,0.0,0.0
02,NER,0.0,33281.0
02,NGA,0.0,0.0
02,RWA,0.0,8151.0
02,SDN,0.0,0.0
02,SEN,0.0,0.0
02,SLE,0.0,0.0
02,SOM,0.0,0.0
02,STP,0.0,51345.0
02,SWZ,0.0,0.0
02,SYC,0.0,0.0
02,TCD,0.0,0.0
02,TGO,0.0,0.0
02,TUN,0.0,0.0
02,TZA,0.0,70995.0
02,UGA,0.0,0.0
02,ZAF,34402.0,2149.0
02,ZMB,0.0,22041.0
02,ZWE,16200.0,22309.0
03,AGO,0.0,19671522.0
03,BDI,0.0,415500.0
03,BEN,24102.0,22293656.0
03,BFA,0.0,20200000.0
03,BWA,0.0,32.0
03,CAF,0.0,0.0
03,CIV,4011.0,55487280.0
03,CMR,0.0,28007601.0
03,COD,135324158.0,93447710.0
03,COG,0.0,12300195.0
03,COM,0.0,434545.0
03,CPV,0.0,4523256.0
03,DJI,0.0,0.0
03,DZA,0.0,26712518.0
03,EGY,2364.0,27192914.0
03,ERI,0.0,0.0
03,ETH,0.0,46820.0
03,GAB,0.0,7824811.0
03,GHA,2119331.0,29498918.0
03,GIN,0.0,143909.0
03,GMB,0.0,883.0
03,GNB,0.0,18290.0
03,GNQ,0.0,3993701.0
03,KEN,4912485.0,12505878.0
03,LBR,0.0,2447017.0
03,LBY,0.0,1262962.0
03,LSO,0.0,0.0
03,MAR,1136670.0,13078997.0
03,MDG,19556847.0,1372634.0
03,MLI,0.0,235875.0
03,MOZ,4838170.0,2019198.0
03,MRT,24328270.0,32840.0
03,MUS,3881869.0,4947808.0
03,MWI,5933.0,0.0
03,NAM,2414531.0,3890858.0
03,NER,0.0,2614828.0
03,NGA,0.0,32022530.0
03,RWA,0.0,988401.0
03,SDN,7967.0,321680.0
03,SEN,19631971.0,952578.0
03,SLE,0.0,0.0
03,SOM,0.0,369283.0
03,STP,8600.0,0.0
03,SWZ,0.0,0.0
03,SYC,0.0,244288.0
03,TCD,0.0,0.0
03,TGO,400.0,3450217.0
03,TUN,0.0,1244239.0
03,TZA,5642081.0,14155541.0
03,UGA,358005.0,0.0
03,ZAF,25233801.0,9875631.0
03,ZMB,4941.0,11271436.0
03,ZWE,0.0,587121.0
04,AGO,0.0,169720.0
04,BDI,0.0,875.0
04,BEN,1485938.0,270886.0
04,BFA,0.0,208295.0
04,BWA,467.0,0.0
04,CAF,0.0,0.0
04,CIV,0.0,3625.0
04,CMR,0.0,1872.0
04,COD,14315.0,1864280.0
04,COG,0.0,0.0
04,COM,0.0,0.0
04,CPV,0.0,0.0
04,DJI,0.0,0.0
04,DZA,0.0,3387.0
04,EGY,27471.0,530447.0
04,ERI,0.0,0.0
04,ETH,2699.0,7042.0
04,GAB,0.0,0.0
04,GHA,0.0,0.0
04,GIN,0.0,0.0
04,GMB,0.0,36775.0
04,GNB,0.0,0.0
04,GNQ,0.0,0.0
04,KEN,921.0,28693.0
04,LBR,0.0,0.0
04,LBY,0.0,230067.0
04,LSO,0.0,0.0
04,MAR,0.0,2622906.0
04,MDG,0.0,0.0
04,MLI,0.0,0.0
04,MOZ,0.0,80311.0
04,MRT,0.0,473533.0
04,MUS,607.0,114248.0
04,MWI,0.0,0.0
04,NAM,0.0,0.0
04,NER,14091.0,1047919.0
04,NGA,0.0,3557715.0
04,RWA,0.0,2484.0
04,SDN,0.0,4310.0
04,SEN,40482.0,2479500.0
